index,prompt,target
0,1734 + 6540 = ,8274
1,3418 + 8778 = ,12196
2,5046 + 7246 = ,12292
3,9022 + 9800 = ,18822
4,3205 + 5290 = ,8495
5,4547 + 6282 = ,10829
6,4850 + 1337 = ,6187
7,3547 + 387 = ,3934
8,5245 + 3922 = ,9167
9,1221 + 1924 = ,3145
10,7185 + 8901 = ,16086
11,8639 + 350 = ,8989
12,8856 + 3715 = ,12571
13,8616 + 4260 = ,12876
14,7738 + 9393 = ,17131
15,3511 + 673 = ,4184
16,1938 + 8033 = ,9971
17,8945 + 7303 = ,16248
18,1973 + 8529 = ,10502
19,5277 + 7970 = ,13247
20,115 + 5719 = ,5834
21,8043 + 8169 = ,16212
22,5696 + 3404 = ,9100
23,4242 + 2820 = ,7062
24,1799 + 2691 = ,4490
25,9264 + 6437 = ,15701
26,9709 + 9776 = ,19485
27,6253 + 4078 = ,10331
28,5405 + 4611 = ,10016
29,8266 + 6634 = ,14900
30,6007 + 3604 = ,9611
31,3280 + 5162 = ,8442
32,5618 + 28 = ,5646
33,1434 + 2903 = ,4337
34,3252 + 6448 = ,9700
35,9830 + 8969 = ,18799
36,7426 + 9077 = ,16503
37,612 + 4186 = ,4798
38,9284 + 8809 = ,18093
39,9738 + 4108 = ,13846
40,5736 + 4263 = ,9999
41,9120 + 9594 = ,18714
42,9114 + 99 = ,9213
43,7385 + 2354 = ,9739
44,5908 + 1608 = ,7516
45,5394 + 9112 = ,14506
46,7719 + 284 = ,8003
47,0 + 4803 = ,4803
48,5851 + 2963 = ,8814
49,9378 + 2098 = ,11476
50,4966 + 2068 = ,7034
51,6827 + 5604 = ,12431
52,6509 + 7874 = ,14383
53,8417 + 7820 = ,16237
54,1807 + 3190 = ,4997
55,1932 + 3973 = ,5905
56,266 + 5382 = ,5648
57,8806 + 9557 = ,18363
58,2418 + 6834 = ,9252
59,7500 + 4765 = ,12265
60,5641 + 8819 = ,14460
61,9160 + 4485 = ,13645
62,6772 + 8373 = ,15145
63,2283 + 4289 = ,6572
64,6732 + 120 = ,6852
65,8717 + 222 = ,8939
66,3676 + 4332 = ,8008
67,3632 + 9768 = ,13400
68,9114 + 7326 = ,16440
69,7557 + 2544 = ,10101
70,6432 + 62 = ,6494
71,6490 + 2023 = ,8513
72,8342 + 8595 = ,16937
73,2437 + 2852 = ,5289
74,127 + 1508 = ,1635
75,9989 + 2508 = ,12497
76,7322 + 9299 = ,16621
77,2022 + 9351 = ,11373
78,3252 + 592 = ,3844
79,6557 + 1024 = ,7581
80,3799 + 4669 = ,8468
81,2371 + 9673 = ,12044
82,7764 + 116 = ,7880
83,8933 + 7935 = ,16868
84,824 + 7096 = ,7920
85,6704 + 5265 = ,11969
86,8121 + 3593 = ,11714
87,5310 + 8934 = ,14244
88,7374 + 8609 = ,15983
89,2276 + 1863 = ,4139
90,7486 + 8199 = ,15685
91,6653 + 8982 = ,15635
92,1890 + 9974 = ,11864
93,1616 + 9371 = ,10987
94,4591 + 626 = ,5217
95,6103 + 5966 = ,12069
96,8990 + 2138 = ,11128
97,6819 + 7239 = ,14058
98,7021 + 4517 = ,11538
99,8629 + 6245 = ,14874
100,7008 + 1745 = ,8753
101,8292 + 1409 = ,9701
102,765 + 5277 = ,6042
103,4997 + 8144 = ,13141
104,4326 + 6056 = ,10382
105,2710 + 3102 = ,5812
106,6675 + 9988 = ,16663
107,4756 + 7018 = ,11774
108,2634 + 123 = ,2757
109,6460 + 1629 = ,8089
110,5672 + 9425 = ,15097
111,1320 + 2538 = ,3858
112,9694 + 2589 = ,12283
113,7774 + 7406 = ,15180
114,4478 + 7011 = ,11489
115,7335 + 7837 = ,15172
116,8700 + 3137 = ,11837
117,1408 + 1111 = ,2519
118,3877 + 5487 = ,9364
119,4825 + 1527 = ,6352
120,9317 + 1321 = ,10638
121,3952 + 3115 = ,7067
122,1134 + 3525 = ,4659
123,4470 + 2963 = ,7433
124,6895 + 8075 = ,14970
125,8071 + 4378 = ,12449
126,8752 + 2742 = ,11494
127,4704 + 4452 = ,9156
128,6743 + 9621 = ,16364
129,5630 + 2562 = ,8192
130,7434 + 3366 = ,10800
131,7078 + 8804 = ,15882
132,4545 + 9845 = ,14390
133,571 + 3748 = ,4319
134,901 + 2309 = ,3210
135,6182 + 6232 = ,12414
136,5839 + 6514 = ,12353
137,9481 + 7300 = ,16781
138,3096 + 9822 = ,12918
139,3458 + 8019 = ,11477
140,3971 + 3661 = ,7632
141,1291 + 8589 = ,9880
142,2532 + 2129 = ,4661
143,9370 + 1711 = ,11081
144,5802 + 8058 = ,13860
145,2489 + 1169 = ,3658
146,4057 + 6613 = ,10670
147,183 + 4207 = ,4390
148,5346 + 2827 = ,8173
149,6241 + 2286 = ,8527
150,5131 + 7137 = ,12268
151,5217 + 5471 = ,10688
152,2349 + 2822 = ,5171
153,2598 + 4147 = ,6745
154,9232 + 8087 = ,17319
155,4867 + 1882 = ,6749
156,7802 + 5533 = ,13335
157,645 + 5497 = ,6142
158,4039 + 6927 = ,10966
159,6990 + 9635 = ,16625
160,6324 + 5479 = ,11803
161,6407 + 761 = ,7168
162,9139 + 3997 = ,13136
163,4791 + 625 = ,5416
164,8587 + 5837 = ,14424
165,3383 + 2555 = ,5938
166,4600 + 5305 = ,9905
167,6758 + 7762 = ,14520
168,3308 + 165 = ,3473
169,1415 + 1821 = ,3236
170,9294 + 523 = ,9817
171,7228 + 8295 = ,15523
172,699 + 6273 = ,6972
173,448 + 8146 = ,8594
174,3467 + 6517 = ,9984
175,3087 + 131 = ,3218
176,213 + 3356 = ,3569
177,1614 + 2927 = ,4541
178,9025 + 4940 = ,13965
179,1291 + 9497 = ,10788
180,1383 + 9050 = ,10433
181,4845 + 5538 = ,10383
182,3070 + 656 = ,3726
183,2593 + 3105 = ,5698
184,7340 + 1510 = ,8850
185,9000 + 1130 = ,10130
186,595 + 4850 = ,5445
187,1440 + 5015 = ,6455
188,324 + 5535 = ,5859
189,8854 + 7232 = ,16086
190,7909 + 79 = ,7988
191,8275 + 6927 = ,15202
192,5130 + 5620 = ,10750
193,9833 + 9040 = ,18873
194,1731 + 1360 = ,3091
195,5440 + 9345 = ,14785
196,363 + 4562 = ,4925
197,2386 + 8889 = ,11275
198,3478 + 7951 = ,11429
199,9103 + 3399 = ,12502
